Team Name,Lethal Racers,,Lethal Racers,,Lethal Racers,,Lethal Racers,,Swamp Shifters,,Swamp Shifters,,Swamp Shifters,,Swamp Shifters,,Beast XLR8,,Beast XLR8,,Beast XLR8,,Beast XLR8,,MicroBeast,,MicroBeast,,MicroBeast,,MicroBeast,,Viper Nation,,Viper Nation,,Viper Nation,,Viper Nation,,Ruff Riders,,Ruff Riders,,Ruff Riders,,Ruff Riders,,Racing Royals,,Racing Royals,,Racing Royals,,Racing Royals,,Astro Racing,,Astro Racing,,Astro Racing,,Astro Racing,,King Clam,,King Clam,,King Clam,,King Clam,,RC Lions,,RC Lions,,RC Lions,,RC Lions,,Ram Tech 59,,Ram Tech 59,,Ram Tech 59,,Ram Tech 59,,Ram Racing 5,,Ram Racing 5,,Ram Racing 5,,Ram Racing 5,,Viper Tech,,Viper Tech,,Viper Tech,,Viper Tech,,Talledega Trojans,,Talledega Trojans,,Talledega Trojans,,Talledega Trojans,,Iditarod Racing,,Iditarod Racing,,Iditarod Racing,,Iditarod Racing,,Crimson Bolt,,Crimson Bolt,,Crimson Bolt,,Crimson Bolt,
,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Lap #,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason,Time,Pit Stop Reason
1,25.65,,25.65,,31.71,,26.99,,16.23,General Repair,19.57,,17.03,,16.69,,19.88,,18.38,,17.89,,18.45,,22.25,,20.14,,19.72,,20.35,,17.09,,17.47,,16.1,,18.11,,16.01,,16.27,,16.18,,16.28,,26.55,,,,23.17,,26.94,,16.59,,15.28,,20.2,,15.72,,21.96,,26.236,,18.834,,17.066,,,,22.19,,22.27,,19.58,,19.06,,15.52,,17.1,,15.59,,167,General Repair,16.51,,21.95,,20.72,,,,,,,,,,28.42,,28.86,,25.99,,27.42,,15.71,,15.85,,14.5,,14.62,,28.54,,28.73,,30.19,,29.97,
2,31.06,,31.06,,22.97,,25,,30.14,General Repair,17.72,,15.34,,16.78,,28.25,Unknown,19.84,,19.31,,17.31,,20.04,,18.94,,18,,19.02,,34.08,,18.23,,17.9,,18.11,,16.39,,16.54,,15.5,,15.63,,58.81,General Repair,,,23.86,,26.19,,14.88,,14.83,,18.37,,16.01,,33.88,,22.187,,19.543,,18.318,,,,17.95,,33.93,Tires,19.55,,17.75,,19.7,,14.18,,18.08,,15.05,,16.25,,86,General Repair,19.56,,,,,,,,,,27.3,,27.61,,26.28,,27.69,,15.94,,115.82,Battery,15.73,,14.61,,28.66,,31.63,,27.05,,27.89,
3,25.31,,25.31,,22.16,,31.05,,17.15,,18.82,,16.27,,16.63,,19.4,,17.48,,19.54,,14.81,,17.94,,21.09,,24.45,Battery,19.13,,15.49,,17.92,,15.28,,18.11,,15.91,,16.82,,16.24,,15.93,,28.66,,,,27.12,,89.95,General Repair,14.98,,15.13,,18.53,,15.06,,22.221,,21.559,,21.013,,19.753,,,,19.39,,32.75,Tires,18.23,,18.41,General Repair,14.7,,15.11,,14.66,,15.04,,15.21,,23.25,,15.37,,,,,,,,,,26.48,,29.83,,27.78,,26.87,,15.84,,14.6,,13.65,,14.53,,30.81,,28.45,,24.77,,27.37,
4,22.94,,22.94,,37.25,,29.37,,72,,19.02,,21.97,,17.96,,21.4,,18.63,,18.33,,16.66,,19.14,,19.6,,18.37,,17.22,,16.08,,16.72,,15.69,,18.11,,21.63,,16.07,,16.48,,15.69,,26.44,,,,25.98,,25.26,,15.45,,15.11,,16.84,,16.13,,25.307,,20.943,,19.515,,20.151,,,,18.91,,22.14,,16.5,,20.85,General Repair,15.04,,14.53,,14.79,,21.22,,15.63,,24.33,,16.39,,,,,,,,,,27.86,,29.07,,27.23,,25.97,,15.76,,14.61,,14.91,,14.09,,28.79,,28.95,,25.66,,26.76,
5,21.22,,21.22,,24.1,,50.33,,16.41,,18.93,,16.04,,16.28,,18.67,,17.43,,20.18,,18.27,,18.88,,26.51,,18.67,,18.38,,14.75,,16.43,,14.24,,18.11,,16.74,,15.97,,15.99,,16.2,,30.01,,,,102.05,General Repair,76.91,General Repair,15.67,,14.86,,16.18,,15.93,,24.23,,21.375,,20.509,,16.961,,,,17.78,,93.1,Tires,17.08,,17.03,,14.95,,15.54,,14.14,,15.67,,18.16,,20.92,,18.05,,,,,,,,,,27.36,,27.74,,26.43,,27.13,,14.95,,14.86,,15.22,,13.94,,30.24,,27.87,,25.7,,26.93,
6,20.87,,20.87,,20.18,,34.5,,15.83,,18.35,,18.69,,16.63,,19.16,,18.15,,20.14,,14.51,,19.6,,29.24,Unknown,19.52,,16.16,,17.98,,16.03,,27.57,,18.11,,16.43,,16.12,,15.7,,15.01,,26.59,,,,85.57,General Repair,567.59,Battery,18.76,,15.58,,21.6,,15.61,,24.25,,24.151,,17.823,,17.83,,,,22.45,,19.65,,18.07,,16.31,,15.57,,15.21,,15.21,,17.32,,18.33,,70,General Repair,16.37,,,,,,,,,,24.06,,27.28,,26.59,,26.26,,15.29,,14.8,,14.83,,14.72,,28.79,,26.42,,24.88,,28.42,
7,32.91,,32.91,,40.83,,23.81,,15.79,,18.29,,16.96,,19.59,,21.58,General Repair,18.25,,17.93,,16.97,,20.07,,21.26,,19.69,,18.87,,15.87,,16.1,,15.36,,18.11,,16.33,,15.78,,15.89,,15.2,,26.59,,,,29.33,,48.25,,15.19,,15.27,,16.37,,15.76,,21.253,,20.332,,19.143,,20.681,,,,49.61,Battery,98.08,General Repair,17.04,,15.04,,15.32,,15.19,,13.68,,19.44,,16.14,,23.95,,14.76,,,,,,,,,,24.8,,26.3,,26.62,,24.99,,15.79,,14.68,,14.23,,14.62,,29.34,,26.31,,27.31,,26.36,
8,20.13,,20.13,,25.51,,22.13,,16,,17.99,,17.38,,16.13,,17.6,,20.27,,16.53,,21.67,,39.28,,18.54,,20.26,,17.05,,15.77,,17.5,,15.69,,18.11,,16.47,,15.89,,15.51,General Repair,15.45,,26.52,General Repair,,,30.94,,23.45,,14.41,,15.41,,16.11,,15.53,,21.556,,20.204,,19.426,,18.439,,,,18.57,,49.52,Tires,18.82,,15.42,,14.87,,14.5,,14.65,,15.1,,15.88,,23.71,,14.95,,,,,,,,,,23.56,,38.93,,29.33,,25.33,,15.25,,15.31,,14.82,,14.07,,28.29,,28.25,,25.92,,61.12,Battery
9,37.43,,37.43,,23.78,,23.18,,17.78,,17.27,,16.76,,16.18,,16.43,,18.51,,17.21,,16.18,,19.97,,25.03,,17.64,,20.38,,15.21,,16.06,,15.72,,18.11,,16.85,,15.5,,32.61,,15.46,,,,,,28.27,,1.75,,16.56,,14.9,,21.09,,15.52,,19.97,,19.075,,20.101,,19.906,,,,19.5,,18.83,,16.71,,16.24,,15.04,,15.07,,16.3,,,,15.91,,27.19,,15.04,,,,,,,,,,24.76,,25.49,,25.88,,27.42,,15.52,,15.76,,14.28,,14.88,,27.63,,28.64,,26.08,,26.82,
10,37.53,,37.53,,54.91,,27.84,,15.87,,18.12,,21.08,,15.65,,17.95,General Repair,19.07,,24.48,,21.67,,20.08,,20.2,,18.76,,17.32,,18.05,,16.1,,15.51,,18.11,,16.55,,23.24,,16.09,,15.7,,,,,,27.3,,24.97,,14.77,,15.91,,20.53,,17.06,,31.835,,20.112,,29.633,,15.619,,,,102.51,,20.74,,16.53,,14.75,,15.89,,14.37,,14.98,,,,15.92,,17.52,,14.64,,,,,,,,,,30.26,,29.5,,23.8,,27.08,,14.91,,15.48,,14.3,,14.22,,29.68,,26.87,,25.71,,25.61,
11,,,,,45.5,,24.78,,15.75,,18.37,,19.41,,15.55,,20.14,,21.17,,22.04,,18.33,,18.44,,17.27,,18.23,,18.55,,25.53,,17.04,,15.27,,18.11,,16.35,,16.03,,15.96,,15.46,,,,,,27.66,,21.52,,15.61,,15.28,,16.7,,15.65,,20.803,,20.061,,19.995,,16.532,,,,,,19.72,,17.25,,14.79,,14.86,,14.88,,13.91,,,,18.82,,23.13,,15.49,,,,,,,,,,26.06,,,,28.16,,25.94,,15.52,,15.68,,15.19,,14.14,,,,,,24.4,,24.76,
12,,,,,72.68,,20.57,,15.85,,17.8,,16.18,,16.67,,17.87,,18.12,,17.79,,16.22,,21.69,,17.77,,18.42,,24.42,,15.13,,16.29,,17.42,,18.11,,16.59,,16.13,,15.16,,15.3,,,,,,26.08,,49.15,,15.38,,15.43,,16.46,,15.18,,26.708,,19.248,,21.941,,17.861,,,,,,47.26,Tires,16.48,,,,15,,14.51,,14.1,,,,17.14,,21.77,,16.92,,,,,,,,,,,,,,27.95,,26.98,,15.43,,15.34,,15.33,,14.74,,,,,,26.89,,25.04,
13,,,,,49.32,,27.81,,16.69,,17.82,,16.48,,15.06,,19.77,General Repair,23.7,,17.36,,19.79,,18.4,,16.73,,18.72,,104.25,Tires,21.21,,15.71,,69,Tires,18.11,,16.38,,15.5,,15.39,,15.36,,,,,,23.22,,25.22,,15.57,,14.77,,17.04,,15.39,,17.276,,19.286,,18.66,,19.151,,,,,,18.6,,16.32,,,,14.77,,14.51,,14.76,,,,17.41,,18.56,,16.4,,,,,,,,,,,,,,26.02,,26.86,,14.82,,14.52,,14.8,,14.38,,,,,,25.84,,25.27,
14,,,,,23.94,,37.03,,15.95,,17.83,,16.65,,15.86,,24.13,,17.46,,17.21,,17.3,,,,18.23,,21.86,,17.71,,17,,16.22,,15.83,,18.11,,15.41,,15.36,,15.86,,15.1,,,,,,21.62,,22.71,,14.74,,14.64,,16.82,,15.82,,,,19.932,,17.204,,18.355,,,,,,19.06,,15.61,,,,22.3,,14.6,,13.84,,,,16.58,,24.73,,17.88,,,,,,,,,,,,,,27.25,,53.45,Battery,15.44,,,,14.77,,14.06,,,,,,25.41,,23.61,
15,,,,,29.15,,28.16,,,,17.29,,16.05,,15.88,,22.08,,,,16.92,Battery,18.05,,,,28.98,,40.05,Battery,23.71,,,,15.91,,15.53,,18.11,,19.82,,15.74,,15.76,,15.85,,,,,,28.07,,21.58,,15.16,,15.3,,16.27,,16.27,,,,,,21.336,,23.81,,,,,,19.8,,15.82,,,,15.04,,14.36,,16.41,,,,16.05,,24.37,,15.78,,,,,,,,,,,,,,24.33,,27.73,,15.45,,,,14.82,,14.58,,,,,,25.43,,24.74,
16,,,,,23.22,,24.84,,,,17.9,,16.56,,14.66,,,,,,19.37,,16.78,,,,16.72,,18.71,,17.17,,,,15.99,,17.49,,18.11,,23.16,,15.29,,15.45,,15.21,,,,,,70,General Repair,21.02,,24.95,,15.72,,19.36,,15.5,,,,,,21.113,,18.125,,,,,,18.61,,15.95,,,,14.26,,14.54,,14.24,,,,16.52,,29.15,,17.79,,,,,,,,,,,,,,25.77,,24.75,,14.53,,,,15.56,,14.68,,,,,,24.98,,23.58,
17,,,,,19.31,,35.97,,,,,,15.95,,15.29,,,,,,26.79,,14.93,,,,,,17.45,,20.3,,,,15.56,,16.19,,18.11,,,,15.47,,15.55,,15.36,,,,,,,,26.94,,15.1,,15.86,,18.47,,15.29,,,,,,16.864,,23.098,,,,,,18.48,,16.44,,,,14.43,,14.88,,14.19,,,,15.97,,22.89,,16.58,,,,,,,,,,,,,,26.22,,24.46,,17.14,,,,14.47,,14.3,,,,,,24.62,,24.02,
18,,,,,,,28.87,,,,,,19.2,,15.94,,,,,,25.07,Battery,18.56,,,,,,79.33,,18.85,,,,15.61,,15.1,,18.11,,,,15.53,,15.87,,16.43,,,,,,,,23.16,,16.98,,15.26,,16.01,,15.67,,,,,,19.531,,17.478,,,,,,19.36,,16.51,,,,14.34,,14.3,,14.31,,,,15.77,,25.05,,16.55,,,,,,,,,,,,,,25.09,,25.21,,15.24,,,,15.05,,14.01,,,,,,26.18,,28.61,
19,,,,,,,21.82,,,,,,16.88,,14.87,,,,,,23.02,,23.87,,,,,,19.49,,18.4,,,,,,16.62,,30,Battery,,,,,15.59,,15.07,,,,,,,,26.74,,,,15.6,,16.83,,15.13,,,,,,21.298,,22.203,,,,,,,,16.49,,,,13.96,,14.52,,14.66,,,,,,21.27,,14.98,,,,,,,,,,,,,,23.79,,24.75,,17.89,,,,14.37,,14.45,,,,,,23.93,,24.64,
20,,,,,,,23.12,,,,,,16.29,,15.38,,,,,,19.22,,21.97,,,,,,20.53,,17.97,,,,,,14.68,,18.11,,,,,,15.57,,15.89,,,,,,,,23.41,,,,,,16.25,,16,,,,,,16.785,,17.25,,,,,,,,16.87,,,,,,14.36,,14.35,,,,,,21.97,,15.29,,,,,,,,,,,,,,24.53,,22.61,,,,,,15.01,,14.44,,,,,,26.07,,23.61,
21,,,,,,,18.78,,,,,,17.5,,16.2,,,,,,21.56,,15.87,,,,,,27.01,,20.31,,,,,,20.13,,18.11,,,,,,15.74,,15.8,,,,,,,,24.71,,,,,,16.05,,16.11,,,,,,17.858,,20.125,,,,,,,,16.84,,,,,,14.07,,14.31,,,,,,20.71,,15.58,,,,,,,,,,,,,,25.47,,24.88,,,,,,14.5,,14.37,,,,,,24.34,,49.79,
22,,,,,,,23.19,,,,,,18.68,,71,Battery,,,,,18.5,,15.82,,,,,,16.13,,17.95,,,,,,16.29,,18.11,,,,,,16.96,,16.15,,,,,,,,26.8,,,,,,16.25,,15.68,,,,,,18.446,,17.571,,,,,,,,15.98,,,,,,15.98,,14.13,,,,,,,,17.06,,,,,,,,,,,,,,24.95,,24.46,,,,,,14.73,,15.21,,,,,,25.59,,24.6,
23,,,,,,,22.16,,,,,,18.52,,15.65,,,,,,21.59,,20.75,,,,,,31.99,,27.01,,,,,,15.35,,18.11,,,,,,16.44,,15.82,,,,,,,,33.33,,,,,,21.58,,19.29,,,,,,21.158,,19.467,,,,,,,,16.37,,,,,,14.56,,14.48,,,,,,,,18.56,,,,,,,,,,,,,,23.59,,29.39,,,,,,15.84,,15.12,,,,,,24.21,,35.64,
24,,,,,,,34.68,,,,,,16.38,,17.13,,,,,,18.53,,18.52,,,,,,17.76,,18.32,,,,,,15.8,,18.11,,,,,,16.01,,15.29,,,,,,,,19.86,,,,,,16.12,,15.81,,,,,,21.114,,32.542,,,,,,,,16.51,,,,,,14.99,,14.48,,,,,,,,19.46,,,,,,,,,,,,,,,,25.52,,,,,,15,,15.34,,,,,,,,72.36,Battery
25,,,,,,,21.57,,,,,,19.62,,17.13,,,,,,16.6,,16.59,,,,,,17.84,,22.34,,,,,,18.7,,18.11,,,,,,15.47,,15.41,,,,,,,,21.6,,,,,,15.45,,16.97,,,,,,17.689,,18.407,,,,,,,,28.87,Battery,,,,,14.36,,14.52,,,,,,,,16.33,,,,,,,,,,,,,,,,26.31,,,,,,15.36,,15.05,,,,,,,,30.8,
26,,,,,,,19.93,,,,,,37.5,General Repair,15.97,,,,,,18.05,,17.03,,,,,,18.43,,24.1,,,,,,14.66,,18.11,,,,,,18.2,,15.4,,,,,,,,23.8,,,,,,16.68,,15.92,,,,,,18.756,,16.563,,,,,,,,16.52,,,,,,14.56,,14.34,,,,,,,,16.04,,,,,,,,,,,,,,,,25.04,,,,,,14.56,,14.77,,,,,,,,22.26,
27,,,,,,,25,,,,,,23.24,,15.08,,,,,,18.55,,16.34,,,,,,,,18.13,,,,,,15.7,,18.11,,,,,,15.58,,15.37,,,,,,,,23.71,,,,,,15.44,,15.58,,,,,,18.376,,17.2,,,,,,,,15.31,,,,,,14.58,,14.54,,,,,,,,16.42,,,,,,,,,,,,,,,,27.74,,,,,,14.32,,14.01,,,,,,,,22.45,
28,,,,,,,24.88,,,,,,29.2,,15.6,,,,,,17.23,,17.33,,,,,,,,19.18,,,,,,15.78,,18.11,,,,,,15.6,,15.15,,,,,,,,29.94,,,,,,16.08,,15.69,,,,,,16.347,,16.236,,,,,,,,16.27,,,,,,14.94,,14.05,,,,,,,,16.32,,,,,,,,,,,,,,,,23.81,,,,,,15.46,,15.01,,,,,,,,24.47,
29,,,,,,,31.84,,,,,,17.13,General Repair,14.88,,,,,,17.02,,15.89,,,,,,,,19.5,,,,,,17.21,,18.11,,,,,,16.12,,15.59,,,,,,,,24.8,,,,,,20.7,,21.33,,,,,,16.298,,19.043,,,,,,,,15.68,,,,,,14.46,,14.31,,,,,,,,16.17,,,,,,,,,,,,,,,,24.42,,,,,,15.4,,14.23,,,,,,,,24.41,
30,,,,,,,35.57,,,,,,15.8,,14.91,,,,,,19.23,,19.6,,,,,,,,18.4,,,,,,14.57,,18.11,,,,,,16.12,,15.29,,,,,,,,26.23,,,,,,17.56,,15.15,,,,,,16.819,,18.947,,,,,,,,15.56,,,,,,14.82,,14,,,,,,,,15.41,,,,,,,,,,,,,,,,26.28,,,,,,14.47,,14.29,,,,,,,,24.23,
31,,,,,,,39.18,,,,,,18.49,,18.96,,,,,,,,15.65,,,,,,,,18.57,,,,,,15.81,,18.11,,,,,,15.8,,15.15,,,,,,,,22.69,,,,,,15.95,,18.43,,,,,,16.442,,16.529,,,,,,,,15.87,,,,,,14.45,,13.97,,,,,,,,40.84,Battery,,,,,,,,,,,,,,,22.39,,,,,,15.22,,14.11,,,,,,,,24.15,
32,,,,,,,27.53,,,,,,19.01,,190,General Repair,,,,,,,17.06,,,,,,,,19.56,,,,,,16.34,,18.11,,,,,,17.49,,15.1,,,,,,,,24.19,,,,,,17.24,,15.67,,,,,,,,17.072,,,,,,,,16.28,,,,,,14.82,,14.13,,,,,,,,17.52,,,,,,,,,,,,,,,,23.28,,,,,,14.37,,13.88,,,,,,,,25.52,
33,,,,,,,14.79,,,,,,,,240,Battery,,,,,,,15.54,,,,,,,,17.84,,,,,,14.96,,18.11,,,,,,15.9,,16.16,,,,,,,,28.07,,,,,,15.67,,15.81,,,,,,,,17.554,,,,,,,,16.74,,,,,,14.58,,14.1,Battery,,,,,,,16.33,,,,,,,,,,,,,,,,24.34,,,,,,14.55,,14.09,,,,,,,,24.46,
34,,,,,,,53.54,,,,,,,,15.35,,,,,,,,19.31,,,,,,,,19.99,,,,,,,,18.11,,,,,,14.88,,15.26,,,,,,,,28.66,,,,,,15.02,,17.67,,,,,,,,19.142,,,,,,,,15.96,,,,,,14.67,,30.22,,,,,,,,16.81,,,,,,,,,,,,,,,,23.19,,,,,,13.96,,14.4,,,,,,,,25.01,
35,,,,,,,36.94,,,,,,,,16.69,,,,,,,,15.4,,,,,,,,17.47,,,,,,,,18.11,,,,,,15.82,,14.89,,,,,,,,,,,,,,,,15.66,,,,,,,,16.836,,,,,,,,15.02,,,,,,14.45,,14.18,,,,,,,,15.22,,,,,,,,,,,,,,,,24.17,,,,,,15.75,,15.47,,,,,,,,24.85,
36,,,,,,,22.12,,,,,,,,16.78,,,,,,,,18.34,,,,,,,,23.01,,,,,,,,18.11,,,,,,15.37,,15.38,,,,,,,,,,,,,,,,16.4,,,,,,,,16.529,,,,,,,,15.53,,,,,,14.7,,14.15,,,,,,,,15.13,,,,,,,,,,,,,,,,24.46,,,,,,14.36,,14.04,,,,,,,,26.68,
37,,,,,,,23.72,,,,,,,,16.63,,,,,,,,23.27,,,,,,,,21.77,,,,,,,,18.11,,,,,,,,16.41,,,,,,,,,,,,,,,,19.02,,,,,,,,16.573,,,,,,,,15.73,,,,,,14.89,,15.06,,,,,,,,16.53,,,,,,,,,,,,,,,,24.8,,,,,,15,,15.35,,,,,,,,24.17,
38,,,,,,,37.07,,,,,,,,17.96,,,,,,,,16.1,,,,,,,,25.55,,,,,,,,18.11,,,,,,,,61,Battery,,,,,,,,,,,,,,,15.66,,,,,,,,17.89,,,,,,,,16.09,,,,,,14.15,,14.23,,,,,,,,16.18,,,,,,,,,,,,,,,,22.63,,,,,,14.62,,12.89,,,,,,,,25.24,
39,,,,,,,22.71,,,,,,,,16.28,,,,,,,,15.52,,,,,,,,24.1,,,,,,,,18.11,,,,,,,,14.88,,,,,,,,,,,,,,,,15.44,,,,,,,,15.843,,,,,,,,15.3,,,,,,14.59,,13.95,,,,,,,,18.21,,,,,,,,,,,,,,,,71.06,Battery,,,,,15.03,,15.54,,,,,,,,27.13,
40,,,,,,,24.44,,,,,,,,16.63,,,,,,,,15.15,,,,,,,,24.33,,,,,,,,18.11,,,,,,,,15.8,,,,,,,,,,,,,,,,15.59,,,,,,,,24.074,,,,,,,,15.98,,,,,,15.13,,14.21,,,,,,,,15.05,,,,,,,,,,,,,,,,23.02,,,,,,,,18.87,,,,,,,,23.49,
41,,,,,,,52.37,,,,,,,,19.59,,,,,,,,23.78,,,,,,,,21.81,,,,,,,,18.11,,,,,,,,14.82,,,,,,,,,,,,,,,,16.22,,,,,,,,15.286,,,,,,,,15.96,,,,,,,,14.11,,,,,,,,17.63,,,,,,,,,,,,,,,,27.43,,,,,,,,14.19,,,,,,,,24.53,
